bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
38568,A Quick Bite (Argeneau #1),Lynsay Sands,3.91,9780060773755,eng,360,2020,Avon
3638,The Wish Giver: Three Tales of Coven Tree,Bill Brittain/Andrew Glass,3.83,9780064401685,eng,192,2019,HarperCollins
43940,Object Thinking,David      West,3.99,9780735619654,eng,334,2019,Microsoft Press
41864,American Genesis: Captain John Smith and the Founding of Virginia,Alden T. Vaughan,3.43,9780673393555,eng,224,2019,Pearson
14142,The Art of Loving,Erich Fromm/Peter D. Kramer/Rainer Funk,4.04,9780061129735,eng,192,2019,Harper Perennial Modern Classics
44184,Monster,Walter Dean Myers,3.72,9780064407311,eng,281,2019,Amistad
1337,Enthusiasm and Divine Madness,Josef Pieper/Richard Winston/Clara Winston,4.5,9781890318239,eng,125,2019,St. Augustines Press
14551,The Perfume Factory,Alex Austin,4.18,9781790877799,eng,227,2018,Kindle
14535,El Perfume: Historia De Un Asesino,Patrick Süskind,4.02,9788432216886,spa,312,2018,Planeta Publishing
31016,El diablo de la botella,Robert Louis Stevenson/Diana Castellanos/Eleonora Garcia Larralde,3.74,9789580408550,spa,77,2018,Grupo Editorial Norma  S.A.
45495,El alquimista: una fábula para seguir tus sueños,Paulo Coelho/Juan Godó Costa,3.86,9780062511409,eng,192,2018,Rayo
11625,Ariel: The Restored Edition,Sylvia Plath/Frieda Hughes,4.27,9780060732608,eng,256,2018,Harper Perennial Modern Classics
21266,Rick Steves' Europe Through the Back Door,Rick Steves,4.24,9781566918084,eng,808,2017,Avalon Travel
15735,Breakfast of Champions,Robert Egan/Kurt Vonnegut Jr.,4.0,9780573605734,eng,106,2017,Samuel French  Inc.
8494,Access the Power of Your Higher Self: Your Source of Inner Guidance and Spiritual Transformation (Pocket Guides to Practical Spirituality),Elizabeth Clare Prophet,4.21,9780922729364,en-GB,100,2017,Summit University Press
41760,Billy Budd  Sailor and Other Uncompleted Writings: The Writings of Herman Melville  Volume 13,Herman Melville/Hershel Parker/G. Thomas Tanselle/Harrison Hayford/Robert Sandberg/Alma MacDougall Reising,3.11,9780810111141,eng,1016,2017,Northwestern Univ Press
38075,The Tarot Cafe  #1,Sang-Sun Park,3.88,9781595325556,en-US,176,2017,TokyoPop
8814,A Clockwork Orange (Stage Play),Anthony Burgess,3.84,9780413735904,eng,51,2017,Methuen Drama
4060,Soul Mates & Twin Flames: The Spiritual Dimension of Love & Relationships (Pocket Guide to Practical Spirituality),Elizabeth Clare Prophet,3.79,9780922729487,en-US,155,2017,Summit University Press
37772,A Man of the People,Chinua Achebe,3.87,9780385086165,eng,160,2016,Penguin Books
35760,Mistaken Identity,Nayantara Sahgal,2.98,9788172235222,eng,324,2016,Harper Collins
40343,The Full Box (Full  #1-4),Janet Evanovich/Charlotte Hughes,4.29,9781593979263,eng,0,2016,Macmillan Audio
40293,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,3.97,9780812508642,en-US,402,2016,Tor Books
6981,When the Heart Waits: Spiritual Direction for Life's Sacred Questions,Sue Monk Kidd,4.13,9780061144899,eng,240,2016,HarperOne
11071,Relatos de lo inesperado,Roald Dahl/Carmelina Payá/Antonio Samons,4.18,9788433920867,spa,320,2016,Anagrama
